RADIUS,SUM,MEAN,MEDIAN,STDDEV,MAD,NPIX,ERR_SD,SURFDENS_FO,SURFDENS,MSURFDENS,MSURFDENS2
arcsec,unit,unit,unit,unit,unit,#,unit/arcs2,unit/arcs2,unit/arcs2,Msun/pc2,Msun/pc2
15,1.77E+00,3.54E-01,3.51E-01,5.42E-03,2.13E-03,5,2.12E-05,6.91E-04,1.38E-03,7.01E+00,6.89E+00
45,5.73E+00,3.58E-01,3.57E-01,1.08E-02,7.44E-03,16,4.20E-05,7.00E-04,1.40E-03,7.10E+00,6.97E+00
75,1.00E+01,3.58E-01,3.64E-01,2.21E-02,1.43E-02,28,8.62E-05,6.99E-04,1.40E-03,7.09E+00,6.97E+00
105,1.34E+01,3.58E-01,3.54E-01,3.18E-02,2.30E-02,37,1.24E-04,7.00E-04,1.40E-03,7.09E+00,6.97E+00
135,1.84E+01,3.76E-01,3.65E-01,5.15E-02,4.19E-02,49,2.01E-04,7.34E-04,1.47E-03,7.44E+00,7.31E+00
165,2.50E+01,4.03E-01,3.98E-01,6.94E-02,5.13E-02,62,2.71E-04,7.86E-04,1.57E-03,7.97E+00,7.84E+00
195,3.07E+01,4.21E-01,4.22E-01,8.32E-02,6.46E-02,73,3.25E-04,8.22E-04,1.64E-03,8.33E+00,8.19E+00
225,3.46E+01,4.27E-01,4.36E-01,8.20E-02,6.18E-02,81,3.20E-04,8.34E-04,1.67E-03,8.45E+00,8.31E+00
255,3.92E+01,4.15E-01,4.16E-01,6.86E-02,5.16E-02,94,2.68E-04,8.10E-04,1.62E-03,8.21E+00,8.07E+00
285,4.09E+01,3.84E-01,3.87E-01,5.71E-02,3.69E-02,106,2.23E-04,7.50E-04,1.50E-03,7.61E+00,7.48E+00
315,4.00E+01,3.46E-01,3.45E-01,6.11E-02,3.39E-02,115,2.39E-04,6.76E-04,1.35E-03,6.85E+00,6.74E+00
345,3.96E+01,3.16E-01,3.16E-01,7.32E-02,3.72E-02,125,2.86E-04,6.17E-04,1.23E-03,6.25E+00,6.15E+00
375,4.08E+01,2.91E-01,2.89E-01,7.51E-02,4.71E-02,140,2.93E-04,5.69E-04,1.14E-03,5.76E+00,5.67E+00
405,4.05E+01,2.76E-01,2.69E-01,6.68E-02,4.20E-02,147,2.61E-04,5.38E-04,1.08E-03,5.46E+00,5.36E+00
435,4.31E+01,2.69E-01,2.68E-01,5.79E-02,3.41E-02,160,2.26E-04,5.25E-04,1.05E-03,5.32E+00,5.23E+00
465,4.47E+01,2.59E-01,2.63E-01,5.25E-02,3.10E-02,172,2.05E-04,5.06E-04,1.01E-03,5.13E+00,5.04E+00
495,4.43E+01,2.44E-01,2.53E-01,5.02E-02,2.82E-02,181,1.96E-04,4.77E-04,9.53E-04,4.83E+00,4.75E+00
525,4.45E+01,2.28E-01,2.37E-01,4.68E-02,3.01E-02,195,1.83E-04,4.45E-04,8.91E-04,4.51E+00,4.44E+00
555,4.31E+01,2.11E-01,2.16E-01,4.57E-02,3.78E-02,204,1.78E-04,4.13E-04,8.26E-04,4.19E+00,4.12E+00
585,4.17E+01,1.96E-01,1.95E-01,4.29E-02,3.42E-02,212,1.68E-04,3.84E-04,7.67E-04,3.89E+00,3.82E+00
615,4.10E+01,1.80E-01,1.80E-01,4.07E-02,3.43E-02,228,1.59E-04,3.51E-04,7.02E-04,3.56E+00,3.50E+00
645,3.92E+01,1.66E-01,1.68E-01,3.94E-02,3.39E-02,236,1.54E-04,3.24E-04,6.49E-04,3.29E+00,3.23E+00
675,3.81E+01,1.52E-01,1.56E-01,3.86E-02,3.10E-02,250,1.51E-04,2.97E-04,5.95E-04,3.02E+00,2.96E+00
705,3.60E+01,1.39E-01,1.41E-01,3.95E-02,3.04E-02,259,1.54E-04,2.71E-04,5.43E-04,2.75E+00,2.70E+00
735,3.34E+01,1.24E-01,1.18E-01,3.93E-02,2.87E-02,268,1.53E-04,2.43E-04,4.85E-04,2.46E+00,2.42E+00
765,3.12E+01,1.11E-01,9.90E-02,3.76E-02,2.20E-02,282,1.47E-04,2.16E-04,4.33E-04,2.19E+00,2.16E+00
795,2.89E+01,9.78E-02,9.04E-02,3.37E-02,2.13E-02,295,1.32E-04,1.91E-04,3.82E-04,1.94E+00,1.90E+00
825,2.63E+01,8.66E-02,7.87E-02,3.14E-02,2.18E-02,303,1.23E-04,1.69E-04,3.39E-04,1.72E+00,1.69E+00
855,2.40E+01,7.63E-02,6.88E-02,3.20E-02,2.22E-02,314,1.25E-04,1.49E-04,2.98E-04,1.51E+00,1.49E+00
885,2.20E+01,6.79E-02,6.06E-02,3.21E-02,2.07E-02,324,1.26E-04,1.33E-04,2.65E-04,1.34E+00,1.32E+00
915,2.02E+01,5.97E-02,4.84E-02,3.14E-02,1.63E-02,338,1.23E-04,1.17E-04,2.33E-04,1.18E+00,1.16E+00
945,1.86E+01,5.29E-02,4.35E-02,3.04E-02,1.60E-02,352,1.19E-04,1.03E-04,2.07E-04,1.05E+00,1.03E+00
975,1.62E+01,4.61E-02,3.79E-02,2.81E-02,1.52E-02,351,1.10E-04,9.01E-05,1.80E-04,9.14E-01,8.98E-01
1005,1.46E+01,3.94E-02,3.08E-02,2.45E-02,1.20E-02,370,9.57E-05,7.69E-05,1.54E-04,7.80E-01,7.66E-01
1035,1.28E+01,3.37E-02,2.61E-02,2.09E-02,1.03E-02,380,8.15E-05,6.57E-05,1.31E-04,6.66E-01,6.55E-01
1065,1.15E+01,2.90E-02,2.37E-02,1.75E-02,9.40E-03,397,6.84E-05,5.67E-05,1.13E-04,5.74E-01,5.65E-01
1095,9.96E+00,2.46E-02,2.15E-02,1.47E-02,8.99E-03,405,5.73E-05,4.80E-05,9.60E-05,4.87E-01,4.78E-01
1125,8.56E+00,2.07E-02,1.79E-02,1.22E-02,8.08E-03,413,4.78E-05,4.04E-05,8.09E-05,4.10E-01,4.03E-01
1155,7.18E+00,1.71E-02,1.37E-02,9.99E-03,5.84E-03,420,3.90E-05,3.33E-05,6.67E-05,3.38E-01,3.32E-01
1185,6.23E+00,1.43E-02,1.13E-02,8.62E-03,4.90E-03,436,3.37E-05,2.79E-05,5.58E-05,2.83E-01,2.78E-01
1215,5.35E+00,1.18E-02,9.72E-03,8.14E-03,4.72E-03,451,3.18E-05,2.31E-05,4.63E-05,2.35E-01,2.31E-01
