#RAD_PIX,RAD_arcs,VROT_km/s,DISP_km/s,INC_deg,PA_deg_,Z0_pc,Z0_arcs,SIG_E20,X_POS_pix,Y_POS_pix,V_SYS_km/s,V_RAD_km/s
0.233,15,45.171,23.418,60,114.59,155.144,10,1,77,77,132.8,0
0.698,45,66.765,21.267,60,124.741,155.144,10,1,77,77,132.8,0
1.164,75,76.288,18.098,60,126.844,155.144,10,1,77,77,132.8,0
1.629,105,85.292,15.984,60,126.303,155.144,10,1,77,77,132.8,0
2.094,135,91.521,14.703,60,125.005,155.144,10,1,77,77,132.8,0
2.56,165,96.822,14.192,60,123.851,155.144,10,1,77,77,132.8,0
3.025,195,103.463,13.083,60,123.172,155.144,10,1,77,77,132.8,0
3.491,225,109.935,12.709,60,122.963,155.144,10,1,77,77,132.8,0
3.956,255,115.623,11.859,60,123.074,155.144,10,1,77,77,132.8,0
4.422,285,121.408,12.379,60,123.34,155.144,10,1,77,77,132.8,0
4.887,315,124.019,12.017,60,123.642,155.144,10,1,77,77,132.8,0
5.352,345,125.706,11.341,60,123.917,155.144,10,1,77,77,132.8,0
5.818,375,126.072,11.271,60,124.143,155.144,10,1,77,77,132.8,0
6.283,405,125.893,10.643,60,124.319,155.144,10,1,77,77,132.8,0
6.749,435,126.617,10.456,60,124.446,155.144,10,1,77,77,132.8,0
7.214,465,126.698,10.311,60,124.526,155.144,10,1,77,77,132.8,0
7.68,495,126.288,9.804,60,124.557,155.144,10,1,77,77,132.8,0
8.145,525,127.243,10.337,60,124.536,155.144,10,1,77,77,132.8,0
8.611,555,127.366,10.622,60,124.464,155.144,10,1,77,77,132.8,0
9.076,585,127.169,10.064,60,124.353,155.144,10,1,77,77,132.8,0
9.541,615,126.958,9.801,60,124.22,155.144,10,1,77,77,132.8,0
10.007,645,127.628,8.766,60,124.087,155.144,10,1,77,77,132.8,0
10.472,675,129.323,8.971,60,123.977,155.144,10,1,77,77,132.8,0
10.938,705,130.89,9.115,60,123.905,155.144,10,1,77,77,132.8,0
11.403,735,132.573,8.926,60,123.874,155.144,10,1,77,77,132.8,0
11.869,765,133.556,8.657,60,123.881,155.144,10,1,77,77,132.8,0
12.334,795,134.606,8.53,60,123.912,155.144,10,1,77,77,132.8,0
12.799,825,135.527,9.123,60,123.958,155.144,10,1,77,77,132.8,0
13.265,855,135.074,9.816,60,124.011,155.144,10,1,77,77,132.8,0
13.73,885,134.391,9.918,60,124.068,155.144,10,1,77,77,132.8,0
14.196,915,134.445,9.631,60,124.127,155.144,10,1,77,77,132.8,0
14.661,945,134.545,8.985,60,124.178,155.144,10,1,77,77,132.8,0
15.127,975,134.748,8.971,60,124.206,155.144,10,1,77,77,132.8,0
15.592,1005,135.424,8.962,60,124.192,155.144,10,1,77,77,132.8,0
16.057,1035,136.175,8.98,60,124.119,155.144,10,1,77,77,132.8,0
16.523,1065,136.653,9.006,60,123.965,155.144,10,1,77,77,132.8,0
16.988,1095,136.865,8.77,60,123.698,155.144,10,1,77,77,132.8,0
17.454,1125,136.455,8.886,60,123.288,155.144,10,1,77,77,132.8,0
17.919,1155,135.5,8.972,60,122.763,155.144,10,1,77,77,132.8,0
18.385,1185,134.172,8.405,60,122.261,155.144,10,1,77,77,132.8,0
18.85,1215,134.518,7.675,60,121.874,155.144,10,1,77,77,132.8,0
